time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
16.837533,1.71136,-0.132469,0.559625,-0.0590716,-0.0488199,0.0127058,102,0,1.52226,-0.0482593,0.676077,-0.0652899,-0.049151,-0.0102239
16.938307,1.67981,-0.124855,0.560839,-0.0327033,-0.071483,-0.0267232,103,0,1.49419,-0.0446056,0.679689,-0.0389715,-0.0570059,-0.0273394
17.072673,1.65084,-0.118879,0.556961,-0.0156339,-0.0720068,-0.0386006,104,0,1.46262,-0.0432029,0.680115,-0.028885,-0.0494393,-0.0147405
17.240631,1.59815,-0.128886,0.550976,-0.0226774,-0.0683715,-0.00874202,105,0,1.42184,-0.0430583,0.681878,-0.0417207,-0.0508125,3.75071e-05
17.374997,1.56681,-0.129312,0.550269,-0.0251241,-0.0667735,-0.00839434,106,0,1.39209,-0.0488253,0.682215,-0.0411831,-0.0438799,0.00321753
17.475771,1.53029,-0.144628,0.553114,-0.0244561,-0.0591252,0.0123163,107,0,1.35238,-0.0526537,0.687626,-0.0382265,-0.0430422,0.0197976
17.610137,1.49845,-0.143079,0.555944,-0.0241802,-0.0716348,0.0207005,108,0,1.32199,-0.0516598,0.696995,-0.0402105,-0.0509093,0.022714
17.744503,1.46123,-0.14523,0.562119,-0.0165323,-0.0711526,0.013093,109,0,1.29128,-0.051579,0.700046,-0.0320561,-0.0501176,0.0116796
17.845278,1.42157,-0.124476,0.562232,-0.0186588,-0.071868,-0.0285207,110,0,1.24125,-0.0446888,0.694761,-0.0391365,-0.064124,-0.023295
17.979390,1.38594,-0.132488,0.551746,-0.01952,-0.089472,-0.0460724,111,0,1.20291,-0.0394323,0.689497,-0.0389013,-0.0660495,-0.044679
18.079688,1.33695,-0.134242,0.546581,-0.0173804,-0.095513,-0.0468393,112,0,1.16597,-0.0357594,0.694342,-0.0352568,-0.0725904,-0.0398149
18.213419,1.29853,-0.132632,0.550922,-0.0249045,-0.112565,-0.0367842,113,0,1.10275,-0.0294761,0.699058,-0.0472872,-0.0852027,-0.00654058
18.347150,1.24986,-0.136155,0.542654,-0.0326283,-0.106883,-0.00312442,114,0,1.06018,-0.0249266,0.690074,-0.0445632,-0.0735084,0.00864358
18.447448,1.20831,-0.150454,0.524226,-0.0249475,-0.095527,0.0291106,115,0,1.017,-0.0208621,0.684307,-0.0398078,-0.0614124,0.0208249
18.581179,1.15776,-0.13098,0.524024,-0.0228598,-0.0890259,0.0284518,116,0,0.973457,-0.0200093,0.676455,-0.0333483,-0.0573587,0.0305228
18.681477,1.1043,-0.124647,0.522317,-0.0211075,-0.0612217,0.0297303,117,0,0.926654,-0.0167067,0.681836,-0.0384574,-0.0328997,0.0276447
18.815208,1.05439,-0.121945,0.510816,-0.0208459,-0.0529771,0.0273583,118,0,0.880165,-0.0167485,0.686217,-0.0337955,-0.0258173,0.0229492
18.948939,0.993138,-0.121138,0.513215,-0.0253798,-0.0453282,0.00944348,119,0,0.814672,-0.0149334,0.687559,-0.0478116,-0.0266805,0.00351973
19.049396,0.934059,-0.106946,0.519381,-0.0517523,-0.0422896,-0.0243636,120,0,0.768719,-0.0105601,0.682087,-0.0734399,-0.0236908,-0.0168779
19.116516,0.916367,-0.129804,0.50975,-0.0564807,-0.0475294,-0.0166222,121,0,0.71914,-0.00875344,0.682821,-0.0660243,-0.0289398,-0.0135398
19.250882,0.852608,-0.123639,0.506504,-0.0447662,-0.0545222,-0.0201081,122,0,0.665968,-0.00556397,0.686857,-0.0478473,-0.0391332,-0.0154752
19.351656,0.803777,-0.129359,0.491585,-0.028343,-0.0558005,-0.00814608,123,0,0.622745,0.00045279,0.686055,-0.0401416,-0.023883,-0.0107261
19.486022,0.749959,-0.118911,0.486971,-0.0205202,-0.0535554,-0.01004,124,0,0.587587,0.00168806,0.675394,-0.0324837,-0.0269074,-0.00953667
19.553205,0.722039,-0.115256,0.485851,-0.0167843,-0.0516034,-0.00795517,125,0,0.542591,0.00505814,0.669318,-0.0353854,-0.0211071,-0.00709681
19.653980,0.666426,-0.104607,0.478982,-0.0291766,-0.0476262,-0.0180721,126,0,0.479002,0.0095334,0.668602,-0.0383323,-0.02748,-0.0101357
19.788346,0.620159,-0.112351,0.475292,-0.026423,-0.0495286,-0.0140144,127,0,0.448274,0.0134809,0.670339,-0.0453854,-0.0234884,-0.0184378
19.889120,0.571558,-0.111565,0.479491,-0.0288116,-0.0348149,-0.0144835,128,0,0.401925,0.0198126,0.661061,-0.0419272,-0.0105994,-0.0150456
19.956303,0.545052,-0.0936912,0.472563,-0.0309064,-0.0284299,-0.0229082,129,0,0.359888,0.0283328,0.665511,-0.0545332,-0.00333943,-0.0243404
20.090669,0.500219,-0.0951753,0.472034,-0.0464543,-0.0328543,-0.0319686,130,0,0.321969,0.0386022,0.669958,-0.075606,-0.0194341,-0.0392817
20.191412,0.46162,-0.0844688,0.470945,-0.0672285,-0.0608375,-0.0537069,131,0,0.288657,0.0487008,0.665555,-0.0747036,-0.0495055,-0.048617
20.392390,0.411585,-0.0689502,0.467798,-0.0429174,-0.0924175,-0.0612684,132,0,0.237518,0.0574627,0.664502,-0.0526992,-0.0721598,-0.0573649
20.425854,0.402202,-0.076365,0.461345,-0.0340334,-0.0948376,-0.0586809,133,0,0.216223,0.062554,0.660825,-0.0362721,-0.0650741,-0.0516565
20.559712,0.36028,-0.0666962,0.456373,-0.0162331,-0.0802859,-0.0468849,134,0,0.178072,0.0674328,0.650329,-0.0315444,-0.0504101,-0.0404255
20.693570,0.313613,-0.0687131,0.440299,-0.0242442,-0.0700254,-0.0371583,135,0,0.142593,0.0693892,0.647323,-0.0425305,-0.0472806,-0.0367847
20.793964,0.272242,-0.061088,0.421812,-0.0333076,-0.062355,-0.0432783,136,0,0.105034,0.0722493,0.621082,-0.054015,-0.038064,-0.0435254
20.860893,0.264158,-0.0697682,0.409795,-0.0359472,-0.0598803,-0.0472022,137,0,0.0689672,0.0728299,0.621557,-0.0445062,-0.0206649,-0.059813
20.994751,0.224546,-0.0617722,0.389816,-0.0235717,-0.0362759,-0.0658277,138,0,0.0473715,0.0733098,0.604492,-0.0376431,-0.00949433,-0.0688338
